País;Código País;Número de Lámina;Nombre
Catar;QAT;17;Edmilson Junior
Catar;QAT;18;Akram Afif
Catar;QAT;19;Ahmed Al Ganehi
Catar;QAT;20;Almoez Ali
Sudáfrica;RSA;1;Escudo
Sudáfrica;RSA;2;Ronwen Williams
Sudáfrica;RSA;3;Sipho Chaine
Sudáfrica;RSA;4;Aubrey Modiba
Sudáfrica;RSA;5;Samukele Kabini
Sudáfrica;RSA;6;Mbekezeli Mbokazi
Sudáfrica;RSA;7;Khulumani Ndamane
Sudáfrica;RSA;8;Siyabonga Ngezana
Sudáfrica;RSA;9;Khuliso Mudau
Sudáfrica;RSA;10;Nkosinathi Sibisi
Sudáfrica;RSA;11;Teboho Mokoena
Sudáfrica;RSA;12;Thalente Mbatha
Sudáfrica;RSA;13;Foto del equipo
Sudáfrica;RSA;14;Bathusi Aubaas
Sudáfrica;RSA;15;Yaya Sithole
Sudáfrica;RSA;16;Sipho Mbule
Sudáfrica;RSA;17;Lyle Foster
Sudáfrica;RSA;18;Iqraam Rayners
Sudáfrica;RSA;19;Mohau Nkota
Sudáfrica;RSA;20;Oswin Appollis
Escocia;SCO;1;Escudo
Escocia;SCO;2;Angus Gunn
Escocia;SCO;3;Jack Hendry
Escocia;SCO;4;Kieran Tierney
Escocia;SCO;5;Aaron Hickey
Escocia;SCO;6;Andrew Robertson
Escocia;SCO;7;Scott McKenna
Escocia;SCO;8;John Souttar
Escocia;SCO;9;Anthony Ralston
Escocia;SCO;10;Grant Hanley
Escocia;SCO;11;Scott McTominay
Escocia;SCO;12;Billy Gilmour
Escocia;SCO;13;Foto del equipo
Escocia;SCO;14;Lewis Ferguson
Escocia;SCO;15;Ryan Christie
Escocia;SCO;16;Kenny McLean
Escocia;SCO;17;John McGinn
Escocia;SCO;18;Lyndon Dykes
Escocia;SCO;19;Che Adams
Escocia;SCO;20;Ben Doak
Senegal;SEN;1;Escudo
Senegal;SEN;2;Édouard Mendy
Senegal;SEN;3;Yehvann Diouf
Senegal;SEN;4;Moussa Niakhaté
Senegal;SEN;5;Abdoulaye Seck
Senegal;SEN;6;Ismaïl Jakobs
Senegal;SEN;7;El Hadji Malick Diouf
Senegal;SEN;8;Kalidou Koulibaly
Senegal;SEN;9;Idrissa Gana Gueye
Senegal;SEN;10;Pape Matar Sarr
Senegal;SEN;11;Pape Gueye
Senegal;SEN;12;Habib Diarra
Senegal;SEN;13;Foto del equipo
Senegal;SEN;14;Lamine Camara
Senegal;SEN;15;Sadio Mané
Senegal;SEN;16;Ismaïla Sarr
Senegal;SEN;17;Boulaye Dia
Senegal;SEN;18;Iliman Ndiaye
Senegal;SEN;19;Nicolas Jackson
Senegal;SEN;20;Krépin Diatta
Suiza;SUI;1;Escudo
Suiza;SUI;2;Gregor Kobel
Suiza;SUI;3;Yvon Mvogo
Suiza;SUI;4;Manuel Akanji
Suiza;SUI;5;Ricardo Rodríguez
Suiza;SUI;6;Nico Elvedi
Suiza;SUI;7;Aurèle Amenda
Suiza;SUI;8;Silvan Widmer
Suiza;SUI;9;Granit Xhaka
Suiza;SUI;10;Denis Zakaria
Suiza;SUI;11;Remo Freuler
Suiza;SUI;12;Fabian Rieder
Suiza;SUI;13;Foto del equipo
Suiza;SUI;14;Ardon Jashari
Suiza;SUI;15;Johan Manzambi
Suiza;SUI;16;Michel Aebischer
Suiza;SUI;17;Breel Embolo
Suiza;SUI;18;Rubén Vargas
Suiza;SUI;19;Dan Ndoye
Suiza;SUI;20;Zeki Amdouni
Suecia;SWE;1;Escudo
Suecia;SWE;2;Victor Johansson
Suecia;SWE;3;Isak Hien
Suecia;SWE;4;Gabriel Gudmundsson
Suecia;SWE;5;Emil Holm
Suecia;SWE;6;Victor Nilsson Lindelöf
Suecia;SWE;7;Gustaf Lagerbielke
Suecia;SWE;8;Lucas Bergvall
Suecia;SWE;9;Hugo Larsson
Suecia;SWE;10;Jesper Karlström
Suecia;SWE;11;Yasin Ayari
Suecia;SWE;12;Mattias Svanberg
Suecia;SWE;13;Foto del equipo
Suecia;SWE;14;Daniel Svensson
Suecia;SWE;15;Ken Sema
Suecia;SWE;16;Roony Bardghji
Suecia;SWE;17;Dejan Kulusevski
Suecia;SWE;18;Anthony Elanga
Suecia;SWE;19;Alexander Isak
Suecia;SWE;20;Viktor Gyökeres
Túnez;TUN;1;Escudo
Túnez;TUN;2;Béchir Ben Saïd
Túnez;TUN;3;Aymen Dahmen
Túnez;TUN;4;Van Valery
Túnez;TUN;5;Montassar Talbi
Túnez;TUN;6;Yassine Meriah
Túnez;TUN;7;Ali Abdi
Túnez;TUN;8;Dylan Bronn
Túnez;TUN;9;Ellyes Skhiri
Túnez;TUN;10;Aïssa Laïdouni
Túnez;TUN;11;Ferjani Sassi
Túnez;TUN;12;Mohamed Ali Ben Romdhane
Túnez;TUN;13;Foto del equipo
Túnez;TUN;14;Hannibal Mejbri
Túnez;TUN;15;Elias Achouri
Túnez;TUN;16;Elias Saad
Túnez;TUN;17;Hazem Mastouri
Túnez;TUN;18;Ismaël Gharbi
Túnez;TUN;19;Sayfallah Ltaief
Túnez;TUN;20;Naïm Sliti
Turquía;TUR;1;Escudo
Turquía;TUR;2;Uğurcan Çakır
Turquía;TUR;3;Mert Müldür
Turquía;TUR;4;Zeki Çelik
Turquía;TUR;5;Abdülkerim Bardakcı
Turquía;TUR;6;Çağlar Söyüncü
Turquía;TUR;7;Merih Demiral
Turquía;TUR;8;Ferdi Kadıoğlu
Turquía;TUR;9;Kaan Ayhan
Turquía;TUR;10;İsmail Yüksek
Turquía;TUR;11;Hakan Çalhanoğlu
Turquía;TUR;12;Orkun Kökçü
Turquía;TUR;13;Foto del equipo
Turquía;TUR;14;Arda Güler
Turquía;TUR;15;İrfan Can Kahveci
Turquía;TUR;16;Yunus Akgün
Turquía;TUR;17;Can Uzun
Turquía;TUR;18;Barış Alper Yılmaz
Turquía;TUR;19;Kerem Aktürkoğlu
Turquía;TUR;20;Kenan Yıldız
Uruguay;URU;1;Escudo
Uruguay;URU;2;Sergio Rochet
Uruguay;URU;3;Santiago Mele
Uruguay;URU;4;Ronald Araújo
Uruguay;URU;5;José María Giménez
Uruguay;URU;6;Sebastián Cáceres
Uruguay;URU;7;Mathías Olivera
Uruguay;URU;8;Guillermo Varela
Uruguay;URU;9;Nahitan Nández
Uruguay;URU;10;Federico Valverde
Uruguay;URU;11;Giorgian De Arrascaeta
Uruguay;URU;12;Rodrigo Bentancur
Uruguay;URU;13;Foto del equipo
Uruguay;URU;14;Manuel Ugarte
Uruguay;URU;15;Nicolás de la Cruz
Uruguay;URU;16;Maxi Araújo
Uruguay;URU;17;Darwin Núñez
Uruguay;URU;18;Federico Viñas
Uruguay;URU;19;Rodrigo Aguirre
Uruguay;URU;20;Facundo Pellistri
Estados Unidos;USA;1;Escudo
Estados Unidos;USA;2;Matt Freese
Estados Unidos;USA;3;Chris Richards
Estados Unidos;USA;4;Tim Ream
Estados Unidos;USA;5;Mark McKenzie
Estados Unidos;USA;6;Alex Freeman
Estados Unidos;USA;7;Antonee Robinson
Estados Unidos;USA;8;Tyler Adams
Estados Unidos;USA;9;Tanner Tessmann
Estados Unidos;USA;10;Weston McKennie
Estados Unidos;USA;11;Christian Roldan
Estados Unidos;USA;12;Timothy Weah
Estados Unidos;USA;13;Foto del equipo
Estados Unidos;USA;14;Diego Luna
Estados Unidos;USA;15;Malik Tillman
Estados Unidos;USA;16;Christian Pulisic
Estados Unidos;USA;17;Brenden Aaronson
Estados Unidos;USA;18;Ricardo Pepi
Estados Unidos;USA;19;Haji Wright
Estados Unidos;USA;20;Folarin Balogun
Uzbekistán;UZB;1;Escudo
Uzbekistán;UZB;2;Utkir Yusupov
Uzbekistán;UZB;3;Farrukh Sayfiev
Uzbekistán;UZB;4;Sherzod Nasrullaev
Uzbekistán;UZB;5;Umar Eshmurodov
Uzbekistán;UZB;6;Husniddin Aliqulov
Uzbekistán;UZB;7;Rustamjon Ashurmatov
Uzbekistán;UZB;8;Khojiakbar Alijonov
Uzbekistán;UZB;9;Abdukodir Khusanov
Uzbekistán;UZB;10;Odiljon Hamrobekov
Uzbekistán;UZB;11;Otabek Shukurov
Uzbekistán;UZB;12;Jamshid Iskanderov
Uzbekistán;UZB;13;Foto del equipo
Uzbekistán;UZB;14;Azizbek Turgunboev
Uzbekistán;UZB;15;Khojimat Erkinov
Uzbekistán;UZB;16;Eldor Shomurodov
Uzbekistán;UZB;17;Oston Urunov
Uzbekistán;UZB;18;Jaloliddin Masharipov
Uzbekistán;UZB;19;Igor Sergeev
Uzbekistán;UZB;20;Abbosbek Fayzullaev

[SECCIÓN ESPECIAL FWC]
Número de Lámina;Nombre de Lámina
00;Panini Logo
FWC-1;Official Emblem - Part 1
FWC-2;Official Emblem - Part 2
FWC-3;Official Mascots
FWC-4;Official Slogan
FWC-5;Official Ball
FWC-6;Canada (Host Country Emblem)
FWC-7;Mexico (Host Country Emblem)
FWC-8;USA (Host Country Emblem)
FWC-9;Team Photo (Italy 1934) - FIFA World Cup Italy 1934
FWC-10;Team Photo (Uruguay 1950) - FIFA World Cup Brazil 1950
FWC-11;Team Photo (West Germany 1954) - FIFA World Cup Switzerland 1954
FWC-12;Team Photo (Brazil 1962) - FIFA World Cup Chile 1962
FWC-13;Team Photo (West Germany 1974) - FIFA World Cup 1974
FWC-14;Team Photo (Argentina 1986) - FIFA World Cup Mexico 1986
FWC-15;Team Photo (Brazil 1994) - FIFA World Cup USA 1994
FWC-16;Team Photo (Brazil 2002) - FIFA World Cup Korea/Japan 2002
FWC-17;Team Photo (Italy 2006) - FIFA World Cup Germany 2006
FWC-18;Team Photo (Germany 2014) - FIFA World Cup Brazil 2014
FWC-19;Team Photo (Argentina 2022) - FIFA World Cup Qatar 2022

[SECCIÓN ESPECIAL COCA-COLA LATINOAMÉRICA / CHILE]
País;Código País;Número de Lámina;Nombre
España;ESP;CC-1;Lamine Yamal
Alemania;GER;CC-2;Joshua Kimmich
Inglaterra;ENG;CC-3;Harry Kane
México;MEX;CC-4;Santiago Giménez
Croacia;CRO;CC-5;Joško Gvardiol
Uruguay;URU;CC-6;Federico Valverde
Colombia;COL;CC-7;Jefferson Lerma
Ecuador;ECU;CC-8;Enner Valencia
Brasil;BRA;CC-9;Gabriel Magalhães
Países Bajos;NED;CC-10;Virgil van Dijk
Canadá;CAN;CC-11;Alphonso Davies
Argentina;ARG;CC-12;Emiliano Martínez
México;MEX;CC-13;Raúl Jiménez
Argentina;ARG;CC-14;Lautaro Martínez
